enroll1000,type,region,nv,nvrate
5.59,U,S,30,5.366726297
0.54,C,S,0,0
35.747,U,W,23,0.643410636
28.176,C,W,1,0.035491198
10.568,U,S,1,0.094625284
3.127,U,S,0,0
20.675,U,W,7,0.338573156
12.548,C,W,0,0
30.063,U,C,19,0.63200612
4.429,C,C,4,0.903138406
12.254,U,NE,3,0.244818019
11.136,C,NE,6,0.538793103
20.949,U,NE,26,1.241109361
12.316,U,S,23,1.867489445
10.678,C,S,7,0.655553474
25.743,U,S,15,0.582682671
3.641,C,S,0,0
11.321,U,MW,9,0.794982775
1.26,C,MW,0,0
27.823,U,C,11,0.39535636
14.41,U,C,2,0.138792505
22.396,U,C,7,0.312555814
6.723,U,C,1,0.148743121
23.901,U,S,8,0.334714029
15.489,U,S,13,0.839305313
13.404,C,S,0,0
10.698,U,NE,1,0.093475416
10.966,U,NE,5,0.455954769
11.237,U,NE,0,0
5.181,C,NE,19,3.667245705
13.348,U,NE,1,0.074917591
4.339,C,NE,6,1.382807098
38.248,U,MW,18,0.470612843
9.764,C,MW,0,0
46.597,U,MW,9,0.193145481
9.38,U,MW,2,0.213219616
16.878,U,S,4,0.236994905
1.318,C,S,1,0.758725341
12.969,U,C,2,0.154213895
2.878,C,C,3,1.042390549
22.764,U,C,3,0.131787032
6.426,U,C,0,0
23.313,U,W,13,0.557628791
9.697,C,W,0,0
35.65,U,NE,24,0.673211781
6.846,C,NE,7,1.022494888
23.753,U,S,27,1.136698522
3.556,U,S,3,0.843644544
4.018,U,NE,1,0.24888004
6.483,U,NE,1,0.154249576
25.494,U,S,8,0.313799325
1.673,C,S,0,0
11.764,U,C,5,0.425025502
2.292,C,C,0,0
18.739,U,MW,3,0.160093922
20.496,C,MW,1,0.048790008
25.104,U,S,7,0.278840025
1.961,C,S,0,0
3.239,U,NE,0,0
1.902,C,NE,1,0.525762355
14.264,U,NE,4,0.280426248
7.774,C,NE,5,0.643169539
23,U,S,17,0.739130435
1.476,U,S,2,1.35501355
9.26,U,C,1,0.107991361
26.033,U,S,8,0.30730227
12.736,C,S,1,0.078517588
7.369,U,S,1,0.135703623
13.313,U,S,1,0.07511455
27.668,U,C,6,0.216857019
22.609,C,C,1,0.044230174
4.638,U,NE,10,2.156101768
4.114,C,NE,1,0.243072436
21.073,U,W,7,0.332178617
4.227,C,W,1,0.236574403
22.774,U,NE,1,0.043909722
3.072,C,NE,3,0.9765625
40.922,U,MW,13,0.317677533
10.549,U,MW,7,0.663570007
12.366,U,C,0,0
2.729,C,C,0,0
